iter	Passed	Remaining
0	1	999
1	1	939
2	2	905
3	3	857
4	4	842
5	5	832
6	5	809
7	6	798
8	7	782
9	7	769
10	8	759
11	9	751
12	9	744
13	10	743
14	11	748
15	12	742
16	12	746
17	13	747
18	14	746
19	15	749
20	16	749
21	16	748
22	17	753
23	18	751
24	19	747
25	19	746
26	20	742
27	21	741
28	22	740
29	22	740
30	23	736
31	24	731
32	24	731
33	25	731
34	26	729
35	27	728
36	27	725
37	28	724
38	29	722
39	29	719
40	30	718
41	31	718
42	32	718
43	33	720
44	33	720
45	34	718
46	35	717
47	36	716
48	36	716
49	37	715
50	38	713
51	39	711
52	39	708
53	40	706
54	41	704
55	41	703
56	42	702
57	43	701
58	43	701
59	44	701
60	45	700
61	46	699
62	46	698
63	47	698
64	48	699
65	49	699
66	50	698
67	50	697
68	51	696
69	52	695
70	53	694
71	53	693
72	54	691
73	55	691
74	56	691
75	56	691
76	57	690
77	58	690
78	59	689
79	59	687
80	60	686
81	61	685
82	61	681
83	62	680
84	63	679
85	63	679
86	64	679
87	65	678
88	66	680
89	67	681
90	68	684
91	69	687
92	70	691
93	71	689
94	72	688
95	73	687
96	73	685
97	74	684
98	75	682
99	75	680
100	76	679
101	77	679
102	77	679
103	78	679
104	79	678
105	80	679
106	81	679
107	82	678
108	82	676
109	83	675
110	84	679
111	85	678
112	86	676
113	87	678
114	88	677
115	88	675
116	89	673
117	89	672
118	90	670
119	91	669
120	91	667
121	92	665
122	93	664
123	94	664
124	94	663
125	95	662
126	96	660
127	96	659
128	97	657
129	98	659
130	99	659
131	100	658
132	100	656
133	101	655
134	102	654
135	102	653
136	103	652
137	104	651
138	104	649
139	105	648
140	106	647
141	106	644
142	107	643
143	108	642
144	108	642
145	109	642
146	110	641
147	111	639
148	111	639
149	112	638
150	113	639
151	114	639
152	115	638
153	116	637
154	116	637
155	117	636
156	118	635
157	119	634
158	119	633
159	120	631
160	120	629
161	121	628
162	122	627
163	122	626
164	123	626
165	124	626
166	125	626
167	126	626
168	127	626
169	127	624
170	128	623
171	129	622
172	130	621
173	130	620
174	131	619
175	132	618
176	132	617
177	133	616
178	134	615
179	134	614
180	135	613
181	136	612
